Time Casa,Time Fora,Campeonato,Mercado,Resultado,Stake R$,Odd,Lucro
São Paulo,Botafogo,Brasileirão,Under 2.5,GREEN,10.0,1.92,9.2
Vasco,Bragantino,Brasileirão,Vitória Fora,GREEN,10.0,3.85,28.5
